plant_id,plant_name,technology,plant_municipality,plant_ort,commissioning_date,grid_connection_level,capacity_mw,capacity_factor,energy_mwh_annual,substation_id,substation_name,distance_m
SEE980855223864,AN 2000-337-05,Wind,Niederer Fläming,Hohenseefeld,12/11/2002,Hochspannung,2.0,0.3,5256.0,313,,4170.765297454426
SEE943099361013,AN 2000-338-06,Wind,Niederer Fläming,Hohenseefeld,12/28/2002,Hochspannung,2.0,0.3,5256.0,313,,4537.933339397138
SEE963479963347,1011082,Wind,Mühlenfließ,Schlalach,5/30/2016,Höchstspannung,3.05,0.3,8015.4,914,,1925.341422817601
SEE904900738103,205000,Wind,Schwielochsee,Schwielochsee,11/6/2014,Hochspannung,3.3,0.3,8672.4,1716,,2536.6626897830542
SEE989295756000,Schönewalde,Solare Strahlungsenergie,Schönewalde,Schönewalde,6/29/2011,Höchstspannung,3.026,0.12,3180.9311999999995,2552,,4649.35808945351
SEE992828447177,205006,Wind,Schwielochsee,Schwielochsee,11/24/2014,Hochspannung,3.3,0.3,8672.4,1716,,2536.6626897830542
SEE939911717229,205009,Wind,Schwielochsee,Schwielochsee,11/6/2014,Hochspannung,3.3,0.3,8672.4,1725,,2832.979344862611
SEE913815063385,205010,Wind,Schwielochsee,Schwielochsee,11/6/2014,Hochspannung,3.3,0.3,8672.4,1725,,2075.9340886826026
SEE937015510500,204998,Wind,Schwielochsee,Schwielochsee,11/18/2014,Hochspannung,3.3,0.3,8672.4,1725,,2075.9340886826026
SEE947874604050,204999,Wind,Schwielochsee,Schwielochsee,11/17/2014,Hochspannung,3.3,0.3,8672.4,1716,,2162.914895079505
SEE990894634392,205002,Wind,Schwielochsee,Schwielochsee,11/3/2014,Hochspannung,3.3,0.3,8672.4,1716,,2535.833182999609
SEE985741673204,WEA 1,Wind,Ahrensfelde,Ahrensfelde,5/15/2020,Hochspannung,4.0,0.3,10512.0,2331,Elisenau,716.4101921033605
SEE916683286207,205003,Wind,Schwielochsee,Schwielochsee,11/14/2014,Hochspannung,3.3,0.3,8672.4,1725,,2845.0840182749125
SEE974204325330,WEA 2,Wind,Ahrensfelde,Ahrensfelde,9/9/2020,Hochspannung,4.0,0.3,10512.0,2331,Elisenau,476.3348440400192
SEE959861856625,205005,Wind,Schwielochsee,Schwielochsee,11/10/2014,Hochspannung,3.3,0.3,8672.4,1716,,2590.6270563942535
SEE966284471632,205001,Wind,Schwielochsee,Schwielochsee,11/6/2014,Hochspannung,3.3,0.3,8672.4,1725,,2659.423448803157
