plant_id,plant_name,technology,plant_municipality,plant_ort,commissioning_date,grid_connection_level,capacity_mw,capacity_factor,energy_mwh_annual,substation_id,substation_name,distance_m
SEE985818635128,V20217,Wind,Altlandsberg,Altlandsberg,12/1/2004,Hochspannung,2.0,0.3,5256.0,1944,Wegendorf TS WKA,1998.0139885931037
SEE954065333897,GE 25163682-01,Wind,Dahmetal,Dahmetal,3/18/2017,Hochspannung,2.53,0.3,6648.839999999999,179,,1773.8148416160736
SEE998780160123,PV-Anlage Sergen,Solare Strahlungsenergie,Neuhausen/Spree,Neuhausen,12/14/2017,Hochspannung,0.594,0.12,624.4128,3162,,1338.941576470562
SEE948721850590,V 212502,Wind,Jacobsdorf,Jacobsdorf,12/23/2016,Hochspannung,3.45,0.3,9066.6,2346,Jacobsdorf,1909.2998407364594
SEE933244215582,WEA 2,Wind,Dahmetal,Dahmetal,6/3/2016,Hochspannung,2.53,0.3,6648.839999999999,179,,2201.0651812606407
SEE970240259233,V 212503,Wind,Jacobsdorf,Jacobsdorf,2/20/2017,Hochspannung,3.45,0.3,9066.6,2346,Jacobsdorf,1764.83416413831
SEE978150569985,V 212504,Wind,Jacobsdorf,Jacobsdorf,1/20/2017,Hochspannung,3.45,0.3,9066.6,2346,Jacobsdorf,1506.1768761475446
SEE988550532632,WEA 3,Wind,Dahmetal,Dahmetal,6/16/2016,Hochspannung,2.53,0.3,6648.839999999999,179,,2103.277536636566
SEE971732258345,V 212505,Wind,Jacobsdorf,Jacobsdorf,2/1/2017,Hochspannung,3.45,0.3,9066.6,2346,Jacobsdorf,1237.9672282235963
SEE971944619491,PV-Anlage Sergen,Solare Strahlungsenergie,Neuhausen/Spree,Neuhausen,2/21/2018,Hochspannung,1.584,0.12,1665.1008,3162,,1338.941576470562
SEE975094493437,WEA 4,Wind,Dahme/Mark,Dahme,6/16/2016,Hochspannung,2.53,0.3,6648.839999999999,179,,2627.1458029146097
SEE977118064012,V 212506,Wind,Jacobsdorf,Jacobsdorf,11/22/2016,Hochspannung,3.45,0.3,9066.6,2346,Jacobsdorf,1186.5969813239626
SEE963764933994,V 212507,Wind,Jacobsdorf,Jacobsdorf,2/21/2017,Hochspannung,3.45,0.3,9066.6,2346,Jacobsdorf,693.9004159827667
SEE985641656390,PV-Anlage Sergen,Solare Strahlungsenergie,Neuhausen/Spree,Neuhausen,2/21/2018,Hochspannung,3.708,0.12,3897.8496,3162,,1338.941576470562
SEE923923348991,WEA 5,Wind,Dahme/Mark,Dahme,6/15/2016,Hochspannung,2.53,0.3,6648.839999999999,2859,,2611.4117492015157
SEE978883707494,V 212508,Wind,Jacobsdorf,Jacobsdorf,12/30/2016,Hochspannung,3.45,0.3,9066.6,2346,Jacobsdorf,2063.4954386875525
SEE938820181329,PV-Anlage Sergen,Solare Strahlungsenergie,Neuhausen/Spree,Neuhausen,12/15/2017,Hochspannung,1.962,0.12,2062.4543999999996,3162,,1338.941576470562
SEE943618043789,V 212509,Wind,Jacobsdorf,Jacobsdorf,2/23/2017,Hochspannung,3.45,0.3,9066.6,2346,Jacobsdorf,1447.3220549870202
SEE969121787637,V 212510,Wind,Jacobsdorf,Jacobsdorf,2/27/2017,Hochspannung,3.45,0.3,9066.6,2781,Petersdorf,1263.444401752674
SEE976721859220,PV-Anlage Frauendorf,Solare Strahlungsenergie,Neuhausen/Spree,Neuhausen,6/9/2017,Hochspannung,7.8,0.12,8199.36,120,Gallinchen GG 4.2.,2044.2623215867839
SEE911157803850,PV-Anlage Kahsel,Solare Strahlungsenergie,Cottbus,Neuhausen,10/26/2017,Hochspannung,2.52,0.12,2649.024,120,Gallinchen GG 4.2.,2044.3314339036965
SEE902442233360,WF Märkisch-Linden WEA 1 (Seriennummer FL 551),Wind,Märkisch Linden,Märkisch Linden,1/7/2009,Hochspannung,1.5,0.3,3942.0,1818,Kränzlin,1821.2634728963112
SEE984973929837,PV-Dachanlage Kahsel,Solare Strahlungsenergie,Neuhausen/Spree,Neuhausen,3/28/2018,Hochspannung,0.681,0.12,715.8672,1676,,2423.157116080233
SEE982823615473,WF Märkisch-Linden WEA 2 (Seriennummer FL 552),Wind,Märkisch Linden,Märkisch Linden,1/22/2009,Hochspannung,1.5,0.3,3942.0,1818,Kränzlin,1775.4298465509285
SEE918939814394,DE-S-TURNOW-PRE,Solare Strahlungsenergie,Peitz,Turnow-Preilack,4/16/2009,Hochspannung,1.25,0.12,1314.0,1629,Peitz,1233.4989348518209
SEE907537939899,WF Märkisch-Linden WEA 3 (Seriennummer FL 553),Wind,Märkisch Linden,Märkisch Linden,1/7/2009,Hochspannung,1.5,0.3,3942.0,1818,Kränzlin,815.1899699025234
SEE978608520667,WF Märkisch-Linden WEA 4 (Seriennummer FL 554),Wind,Märkisch Linden,Märkisch Linden,1/23/2009,Hochspannung,1.5,0.3,3942.0,1818,Kränzlin,577.058631338884
SEE946385686357,WF Märkisch-Linden WEA 5 (Seriennummer FL 555),Wind,Märkisch Linden,Märkisch Linden,1/20/2009,Hochspannung,1.5,0.3,3942.0,1818,Kränzlin,486.92707534696984
SEE999526177979,PV-Anlage Laubsdorf 1.BA,Solare Strahlungsenergie,Neuhausen/Spree,Neuhausen,12/21/2018,Hochspannung,5.56,0.12,5844.672,2130,Umspannwerk Roggosen,1652.2261679240687
SEE919877394658,WF Märkisch-Linden WEA 6 (Seriennummer FL 556),Wind,Märkisch Linden,Märkisch Linden,2/4/2009,Hochspannung,1.5,0.3,3942.0,1818,Kränzlin,607.9035750783697
SEE933490953979,PV-Anlage Laubsdorf 1.BA,Solare Strahlungsenergie,Cottbus,Neuhausen,1/18/2019,Hochspannung,2.1,0.12,2207.52,2130,Umspannwerk Roggosen,1652.2261679240687
SEE914028681946,WF Märkisch-Linden WEA 7 (Seriennummer FL 557),Wind,Märkisch Linden,Märkisch Linden,1/22/2009,Hochspannung,1.5,0.3,3942.0,2076,Kränzlin Nord,885.8678184987992
SEE981965198202,WF Märkisch-Linden WEA 8 (Seriennummer FL 558),Wind,Märkisch Linden,Märkisch Linden,1/6/2009,Hochspannung,1.5,0.3,3942.0,2076,Kränzlin Nord,1165.2405980382248
SEE948553761750,WF Märkisch-Linden WEA 9 (Seriennummer FL 559),Wind,Märkisch Linden,Märkisch Linden,1/7/2009,Hochspannung,1.5,0.3,3942.0,2912,Umspannwerk Walsleben,1371.2632456239273
SEE982552141472,WF Märkisch-Linden WEA 10 (Seriennummer FL 560),Wind,Märkisch Linden,Märkisch Linden,6/26/2008,Hochspannung,1.5,0.3,3942.0,1818,Kränzlin,201.088204794871
SEE920651643305,WF Märkisch-Linden WEA 12 (Seriennummer FL 562),Wind,Märkisch Linden,Märkisch Linden,5/20/2008,Hochspannung,1.5,0.3,3942.0,2076,Kränzlin Nord,123.86549500849087
SEE959325922958,L2 Lücke 2,Wind,Schenkenberg,Schenkenberg,3/12/2016,Höchstspannung,2.78,0.3,7305.839999999999,2663,Uckerthal,2853.7115248351206
SEE953711247748,WF Märkisch-Linden WEA 13 (Seriennummer FL 563),Wind,Märkisch Linden,Märkisch Linden,1/13/2009,Hochspannung,1.5,0.3,3942.0,2076,Kränzlin Nord,445.5541301654653
SEE916332403214,WF Märkisch-Linden WEA 14 (Seriennummer FL 564),Wind,Märkisch Linden,Märkisch Linden,1/21/2009,Hochspannung,1.5,0.3,3942.0,2076,Kränzlin Nord,746.0021148282945
SEE968225260886,WF Märkisch-Linden WEA15 (Seriennummer FL 565),Wind,Märkisch Linden,Märkisch Linden,1/16/2009,Hochspannung,1.5,0.3,3942.0,2076,Kränzlin Nord,1052.2995134934456
SEE949843189186,WF Märkisch-Linden WEA 16 (Seriennummer FL 566),Wind,Märkisch Linden,Märkisch Linden,1/21/2009,Hochspannung,1.5,0.3,3942.0,2076,Kränzlin Nord,1361.0878160234993
SEE963545227632,WF Märkisch-Linden WEA 17 (Seriennummer FL 567),Wind,Märkisch Linden,Märkisch Linden,1/13/2009,Hochspannung,1.5,0.3,3942.0,2912,Umspannwerk Walsleben,1649.1110738982045
SEE969496044793,WF Märkisch-Linden WEA 18 (Seriennummer FL 568),Wind,Märkisch Linden,Märkisch Linden,1/11/2009,Hochspannung,1.5,0.3,3942.0,2912,Umspannwerk Walsleben,1549.0938063203466
SEE972914043292,WF Märkisch-Linden WEA 19 (Seriennummer FL 569),Wind,Märkisch Linden,Märkisch Linden,1/7/2009,Hochspannung,1.5,0.3,3942.0,2076,Kränzlin Nord,468.7706505648758
SEE954071020965,WF Märkisch-Linden WEA 20 (Seriennummer FL 570),Wind,Märkisch Linden,Märkisch Linden,1/23/2009,Hochspannung,1.5,0.3,3942.0,2912,Umspannwerk Walsleben,1148.4468551881273
SEE955527325085,WF Märkisch-Linden WEA 21 (Seriennummer FL 561),Wind,Märkisch Linden,Märkisch Linden,1/7/2009,Hochspannung,1.5,0.3,3942.0,2912,Umspannwerk Walsleben,1509.474628481659
SEE957533408233,RCP Solarpark Fürstenwalde,Solare Strahlungsenergie,Fürstenwalde/Spree,Fürstenwalde,12/9/2011,Hochspannung,4.32,0.12,4541.184,1648,Fürstenwalde Flugplatz,1362.572066212669
SEE901731820847,V201624,Wind,Sydower Fließ,Sydower Fließ,8/23/2013,Hochspannung,3.075,0.3,8081.099999999999,1870,Sydower Fließ West,427.77990134202287
SEE967142227637,V201625,Wind,Sydower Fließ,Sydower Fließ,8/23/2013,Hochspannung,3.075,0.3,8081.099999999999,1870,Sydower Fließ West,227.99957541665538
SEE916547345040,V201626,Wind,Sydower Fließ,Sydower Fließ,7/22/2013,Hochspannung,3.075,0.3,8081.099999999999,1870,Sydower Fließ West,626.4061109860559
SEE946637214581,V201627,Wind,Sydower Fließ,Sydower Fließ,7/30/2013,Hochspannung,3.075,0.3,8081.099999999999,1870,Sydower Fließ West,579.3099934343215
SEE949239845351,V201628,Wind,Sydower Fließ,Sydower Fließ,7/29/2013,Hochspannung,3.075,0.3,8081.099999999999,1870,Sydower Fließ West,1004.6305993478245
SEE964178343966,V201629,Wind,Sydower Fließ,Sydower Fließ,7/18/2013,Hochspannung,3.075,0.3,8081.099999999999,1870,Sydower Fließ West,862.8146968225949
SEE975314683921,V201618,Wind,Sydower Fließ,Sydower Fließ,7/30/2013,Hochspannung,2.0,0.3,5256.0,1870,Sydower Fließ West,1329.6634220516462
SEE949896514690,V201630,Wind,Sydower Fließ,Sydower Fließ,7/31/2013,Hochspannung,3.075,0.3,8081.099999999999,1870,Sydower Fließ West,1660.216542694516
SEE901918302777,V201631,Wind,Sydower Fließ,Sydower Fließ,7/26/2013,Hochspannung,3.075,0.3,8081.099999999999,1870,Sydower Fließ West,1576.8543669626342
SEE966463446734,DE49.005 Wriezen BA II,Solare Strahlungsenergie,Wriezen,Wriezen,2/12/2019,Hochspannung,4.1004,0.12,4310.340479999999,1713,Wriezen Höhe,1271.2862128121005
SEE953375055024,V201632,Wind,Sydower Fließ,Sydower Fließ,8/16/2013,Hochspannung,3.075,0.3,8081.099999999999,2586,Umspannwerk Albertshof,890.5899615848524
SEE986386280444,V201633,Wind,Sydower Fließ,Sydower Fließ,9/2/2013,Hochspannung,3.075,0.3,8081.099999999999,2586,Umspannwerk Albertshof,1143.1881335188382
SEE939127209532,V201634,Wind,Sydower Fließ,Sydower Fließ,9/10/2013,Hochspannung,3.075,0.3,8081.099999999999,2586,Umspannwerk Albertshof,1423.332858966935
SEE960626455106,WP Schmölln WEA 1,Wind,Randowtal,Randowtal,1/12/2018,Hochspannung,3.3,0.3,8672.4,3026,,3489.679321693798
SEE911701399211,V18397,Wind,Werneuchen,Werneuchen,12/19/2003,Hochspannung,2.0,0.3,5256.0,2586,Umspannwerk Albertshof,1368.1737426520237
SEE945672950522,V18398,Wind,Werneuchen,Werneuchen,12/19/2003,Hochspannung,2.0,0.3,5256.0,2586,Umspannwerk Albertshof,1420.5732764750617
SEE908996876886,V18438,Wind,Werneuchen,Werneuchen,12/19/2003,Hochspannung,2.0,0.3,5256.0,1397,Umspannwerk Willmersdorf,390.30973667129604
SEE930053065117,WP Schmölln WEA 2,Wind,Randowtal,Randowtal,12/29/2017,Hochspannung,3.3,0.3,8672.4,2540,UW Randowhöhe,3504.7862944765916
SEE933796114920,WP Schmölln WEA 3,Wind,Randowtal,Randowtal,12/7/2017,Hochspannung,3.3,0.3,8672.4,2540,UW Randowhöhe,3087.8154544856334
SEE978287182880,WP Schmölln WEA 4,Wind,Randowtal,Randowtal,12/20/2017,Hochspannung,3.3,0.3,8672.4,2540,UW Randowhöhe,2964.844632886124
SEE967376733867,E1 Eisenbahn Stettin 1,Wind,Gartz (Oder),Mescherin,12/9/2020,Hochspannung,3.45,0.3,9066.6,3408,,2526.0708759832337
SEE911886075610,E3 Eisenbahn Stettin 3,Wind,Gartz (Oder),Gartz,12/22/2020,Hochspannung,3.45,0.3,9066.6,3408,,1867.7010991711072
SEE999042729010,E4 Eisenbahn Stettin 4,Wind,Gartz (Oder),Mescherin,1/22/2021,Hochspannung,3.45,0.3,9066.6,3408,,1826.570826898427
SEE960411820539,E5 Eisenbahn Stettin 5,Wind,Gartz (Oder),Mescherin,2/5/2021,Hochspannung,3.45,0.3,9066.6,3408,,1510.3617105843034
SEE931740866543,E6 Eisenbahn Stettin 6,Wind,Gartz (Oder),Mescherin,12/9/2020,Hochspannung,3.45,0.3,9066.6,3408,,1253.284015770574
SEE986911415877,EE Urja WEA 38,Wind,Wriezen,Wriezen,6/18/2018,Hochspannung,3.45,0.3,9066.6,3424,,5454.75185342902
SEE946421122887,WP Lüdersdorf WEA 35,Wind,Wriezen,Wriezen,5/24/2017,Hochspannung,3.45,0.3,9066.6,1713,Wriezen Höhe,6274.723517136222
SEE981876045305,WP Lüdersdrof WEA 37,Wind,Wriezen,Wriezen,5/29/2017,Hochspannung,3.45,0.3,9066.6,3424,,5735.606664868214
SEE949321751980,WEA 5 / 921184,Wind,Karstädt,Karstädt,2/27/2018,"Hochspannung, Niederspannung (= Hausanschluss/Haushaltsstrom)",2.35,0.3,6175.8,3347,,239.1295251073224
SEE931155981022,PVA Cahnsdorf BA2B,Solare Strahlungsenergie,Luckau,Luckau,1/16/2018,Hochspannung,1.68,0.12,1766.0159999999998,2016,,2517.851287625714
SEE941319734036,Cahnsdorf BA2A,Solare Strahlungsenergie,Luckau,Luckau,1/16/2018,Hochspannung,0.9,0.12,946.0799999999999,1670,Willmersdorf West,2132.127853008604
SEE981771255281,16897,Wind,Schönwald,Schönwald,2/6/2003,Hochspannung,2.0,0.3,5256.0,1927,,1507.153655375818
SEE900983643914,16896,Wind,Schönwald,Schönwald,2/11/2003,Hochspannung,2.0,0.3,5256.0,1927,,1454.4976366213652
SEE954937576896,17651,Wind,Schönwald,Schönwald,11/27/2003,Hochspannung,2.0,0.3,5256.0,178,,2052.121196171978
SEE905829191079,17650,Wind,Schönwald,Schönwald,11/28/2003,Hochspannung,2.0,0.3,5256.0,1927,,1910.0183714521052
SEE900120912088,17652,Wind,Schönwald,Schönwald,12/18/2003,Hochspannung,2.0,0.3,5256.0,178,,1683.9152399545274
SEE946868297117,WEA 2 / 85145,Wind,Karstädt,Karstädt,4/19/2017,"Hochspannung, Niederspannung (= Hausanschluss/Haushaltsstrom)",3.15,0.3,8278.199999999999,2772,UW Semlin,978.3308070279926
SEE990957151644,WEA 1 / 921180,Wind,Karstädt,Karstädt,2/10/2017,"Hochspannung, Niederspannung (= Hausanschluss/Haushaltsstrom)",2.35,0.3,6175.8,3373,,279.9372289892424
SEE955812777339,WEA 2 / 921181,Wind,Karstädt,Karstädt,1/30/2017,"Hochspannung, Niederspannung (= Hausanschluss/Haushaltsstrom)",2.35,0.3,6175.8,3372,,341.051931007775
SEE948178278848,WEA 3 / 921182,Wind,Karstädt,Karstädt,2/27/2017,"Hochspannung, Niederspannung (= Hausanschluss/Haushaltsstrom)",2.35,0.3,6175.8,3370,,655.5886789490024
SEE955581772481,WEA 4 / 921183,Wind,Karstädt,Karstädt,2/22/2017,"Hochspannung, Niederspannung (= Hausanschluss/Haushaltsstrom)",2.35,0.3,6175.8,3370,,307.162167369117
SEE938943620477,ABR978910681018,Wind,Schönfeld,Schönfeld,10/27/2017,Höchstspannung,2.35,0.3,6175.8,3403,,4827.878387988385
SEE948195535757,DE41.002 Solarpark Bliesdorf T1,Solare Strahlungsenergie,Bliesdorf,Bliesdorf,5/2/2017,Hochspannung,1.44,0.12,1513.7279999999998,1711,Bliesdorf,1776.951967026392
SEE994552188586,Beiersdorf WEA 01,Wind,Beiersdorf-Freudenberg,Beiersdorf-Freudenberg,9/5/2014,Hochspannung,2.0,0.3,5256.0,1839,Beiersdorf,5873.619601816799
SEE911423362791,B7 Briest 7,Wind,Passow,Passow,12/21/2018,Hochspannung,3.6,0.3,9460.8,1140,Wendemark Wasserwerk,1866.5963915183722
SEE951838408783,WEA 11 (G-100187147-11),Wind,Doberlug-Kirchhain,Doberlug-Kirchhain,6/27/2018,Hochspannung,2.0,0.3,5256.0,3247,,900.3509706837436
SEE908782133520,B8 Briest 8,Wind,Passow,Passow,11/30/2018,Hochspannung,3.6,0.3,9460.8,1140,Wendemark Wasserwerk,1516.5474157557464
SEE930577857762,DE41.003 Solarpark Metzdorf II,Solare Strahlungsenergie,Bliesdorf,Bliesdorf,5/2/2017,Hochspannung,1.95975,0.12,2060.0892,2493,Gottesgabe Wriezen,540.1241708118134
SEE965472238552,G1 Grottberg 1,Wind,Grünow,Grünow,9/8/2017,Höchstspannung,3.45,0.3,9066.6,2846,Baumgarten Süd,1824.2301400004108
SEE902446383313,G2 Grottberg 2,Wind,Grünow,Grünow,9/15/2017,Höchstspannung,3.45,0.3,9066.6,3028,,1923.6337956612147
SEE909687987744,S1 Stramohlbring 1,Wind,Grünow,Grünow,11/15/2017,Höchstspannung,3.45,0.3,9066.6,1947,Baumgarten,1263.323034102491
SEE900187581852,S2 Stramohlbring 2,Wind,Grünow,Grünow,11/3/2017,Höchstspannung,3.45,0.3,9066.6,1947,Baumgarten,1087.3953710360363
SEE982212785824,S3 Stramohlbring 3,Wind,Grünow,Grünow,10/26/2017,Höchstspannung,3.45,0.3,9066.6,3028,,1179.1550856492925
SEE922253770502,A5 Alte Allee 5,Wind,Schönfeld,Schönfeld,1/29/2018,Hochspannung,3.45,0.3,9066.6,2327,UW Cremzow,4085.690536729688
SEE927413447447,WEA 8 (G-100187149-08),Wind,Doberlug-Kirchhain,Doberlug-Kirchhain,6/29/2018,Hochspannung,2.0,0.3,5256.0,3247,,1176.8094357102475
SEE990800978503,A6 Alte Allee 6,Wind,Schönfeld,Schönfeld,12/8/2017,Hochspannung,3.45,0.3,9066.6,2327,UW Cremzow,3428.755277674764
SEE966046645684,A3 Alte Allee 3,Wind,Schönfeld,Schönfeld,11/23/2017,Hochspannung,3.45,0.3,9066.6,2285,,3825.9954675791837
SEE975739469025,A4 Alte Allee 4,Wind,Schönfeld,Schönfeld,11/16/2017,Hochspannung,3.45,0.3,9066.6,2327,UW Cremzow,3735.2926626877406
SEE911151440419,A1 Alte Allee 1,Wind,Schönfeld,Schönfeld,11/7/2017,Hochspannung,3.45,0.3,9066.6,2663,Uckerthal,3413.5325174480713
SEE974645111226,L3 Lücke 3,Wind,Schönfeld,Schönfeld,9/29/2017,Hochspannung,3.45,0.3,9066.6,2327,UW Cremzow,3638.908642985718
SEE993306869368,V 216971-03,Wind,Niederer Fläming,Schlenzer,7/21/2017,Hochspannung,3.3,0.3,8672.4,221,Wahlsdorf 3,3583.836851343322
SEE978806819167,V 216972-04,Wind,Niederer Fläming,Schlenzer,6/30/2017,Hochspannung,3.3,0.3,8672.4,221,Wahlsdorf 3,2653.209210019484
SEE924946526779,E 920780-10,Wind,Niederer Fläming,Werbig,2/19/2016,Hochspannung,2.35,0.3,6175.8,2560,,1996.7158800724837
SEE943772738255,E 920784-03,Wind,Niederer Fläming,Werbig,7/26/2017,Hochspannung,2.35,0.3,6175.8,1313,,1723.8614540365752
SEE930278165128,E 920779-05,Wind,Niederer Fläming,Werbig,12/18/2015,Hochspannung,2.35,0.3,6175.8,1313,,2292.2660618192303
SEE943289234646,E 920781-04,Wind,Niederer Fläming,Werbig,2/17/2016,Hochspannung,2.35,0.3,6175.8,2560,,2410.5327992708276
SEE914056372861,E 920782-08,Wind,Niederer Fläming,Werbig,7/28/2017,Hochspannung,2.35,0.3,6175.8,1313,,1481.3418798894143
SEE948040855498,E 920778-07,Wind,Niederer Fläming,Werbig,1/27/2016,Hochspannung,2.35,0.3,6175.8,1313,,1847.5242503799843
SEE928565505962,E 1150700-11,Wind,Niederer Fläming,Werbig,8/30/2017,Hochspannung,3.0,0.3,7884.0,1313,,1145.7513352001492
SEE940188494881,E 1150701-12,Wind,Niederer Fläming,Werbig,9/15/2017,Hochspannung,3.0,0.3,7884.0,1313,,1073.4080825922895
SEE909143665988,WEA 3 / 85144,Wind,Karstädt,Karstädt,3/24/2017,"Hochspannung, Niederspannung (= Hausanschluss/Haushaltsstrom)",3.15,0.3,8278.199999999999,2772,UW Semlin,492.84344183388646
SEE914682403106,L1 Luckow-Petershagen 1,Wind,Casekow,Casekow,9/20/2017,Hochspannung,3.3,0.3,8672.4,1882,,6391.070140099554
SEE947813850111,WEA 4 / 85143,Wind,Karstädt,Karstädt,3/28/2017,"Hochspannung, Niederspannung (= Hausanschluss/Haushaltsstrom)",3.15,0.3,8278.199999999999,2772,UW Semlin,795.3932573157548
SEE973448508035,WEA 1 / 85146,Wind,Karstädt,Karstädt,3/30/2017,"Hochspannung, Niederspannung (= Hausanschluss/Haushaltsstrom)",3.0,0.3,7884.0,2772,UW Semlin,728.164838484654
SEE920799135205,L3 Luckow-Petershagen 3,Wind,Casekow,Casekow,9/8/2017,Hochspannung,3.3,0.3,8672.4,1882,,5798.820232613843
SEE920212081836,R2 Rötpfuhlweg 2,Wind,Casekow,Casekow,9/20/2017,Hochspannung,3.3,0.3,8672.4,1882,,6914.69008462946
SEE916284503307,S1 Streitberge 1,Wind,Gerswalde,Oberuckersee,3/27/2018,Höchstspannung,4.2,0.3,11037.6,3277,Umspannwerk Bertikow,3009.473564281715
SEE989235500793,S2 Streitberge 2,Wind,Gerswalde,Oberuckersee,3/8/2018,Höchstspannung,4.2,0.3,11037.6,3277,Umspannwerk Bertikow,3331.8558128777604
SEE908771673679,S3 Streitberge 3,Wind,Gerswalde,Oberuckersee,11/29/2017,Höchstspannung,3.0,0.3,7884.0,3277,Umspannwerk Bertikow,3714.312394395567
SEE968400094268,FBR01_301624,Wind,Forst (Lausitz),Forst,12/12/2018,Hochspannung,3.2,0.3,8409.6,1935,TST 1115,3689.1883889903584
SEE984496697244,FBR02_301625,Wind,Forst (Lausitz),Forst,12/11/2018,Hochspannung,3.2,0.3,8409.6,1935,TST 1115,4036.2143748857975
SEE938117928439,FBR03_301626,Wind,Forst (Lausitz),Forst,12/14/2018,Hochspannung,3.2,0.3,8409.6,1935,TST 1115,4238.873253739225
SEE963670213463,FBR04_301627,Wind,Forst (Lausitz),Forst,12/11/2018,Hochspannung,3.2,0.3,8409.6,1935,TST 1115,4488.57859043596
SEE962877158751,FBR05_301628,Wind,Forst (Lausitz),Forst,12/11/2018,Hochspannung,3.2,0.3,8409.6,1642,,4844.372290359466
SEE947611851716,WEA 1 (100187297),Wind,Schlieben,Schlieben,9/11/2018,Hochspannung,2.0,0.3,5256.0,3247,,1428.8794068319385
SEE920136677825,WEA 2 (100187278),Wind,Schlieben,Schlieben,9/20/2018,Hochspannung,2.0,0.3,5256.0,3247,,1567.5665879699163
SEE972227183968,NM 67197-18 (Nauen),Wind,Nauen,Nauen,9/4/2002,Hochspannung,1.5,0.3,3942.0,1567,Neukammer,2948.5534864805827
SEE954058753930,WEA 3 (100187280),Wind,Doberlug-Kirchhain,Doberlug-Kirchhain,9/20/2018,Hochspannung,2.0,0.3,5256.0,3247,,1173.280448583987
SEE917204446353,NM 67189-19 (Nauen),Wind,Nauen,Nauen,9/4/2002,Hochspannung,1.5,0.3,3942.0,1567,Neukammer,3099.2259819105707
SEE919365687262,WEA 01 - 201909,Wind,Neu-Seeland,Neu-Seeland,9/27/2013,Hochspannung,3.075,0.3,8081.099999999999,1898,Umspannstation Proschim,734.1335269542146
SEE990715521641,NM 67191-20 (Nauen),Wind,Nauen,Nauen,8/27/2002,Hochspannung,1.5,0.3,3942.0,1567,Neukammer,3307.979664725496
SEE908922735089,NM 67244-21 (Nauen),Wind,Nauen,Nauen,9/12/2002,Hochspannung,1.5,0.3,3942.0,1567,Neukammer,3779.373529033113
SEE938761100014,NM 67245-22 (Nauen),Wind,Nauen,Nauen,9/11/2002,Hochspannung,1.5,0.3,3942.0,1567,Neukammer,3861.426079338509
SEE942074708232,WEA 5 (100187263),Wind,Schlieben,Schlieben,9/27/2018,Hochspannung,2.0,0.3,5256.0,3247,,2196.8557752086626
SEE911627871860,NM 67243-23 (Nauen),Wind,Nauen,Nauen,9/11/2002,Hochspannung,1.5,0.3,3942.0,1567,Neukammer,3270.151262557737
SEE947455560041,NM 67250-24 (Nauen),Wind,Nauen,Nauen,9/3/2002,Hochspannung,1.5,0.3,3942.0,1567,Neukammer,3334.514816303972
SEE990507859877,NM 67203-25 (Nauen),Wind,Nauen,Nauen,9/2/2002,Hochspannung,1.5,0.3,3942.0,1567,Neukammer,3423.9888843991907
SEE951912304895,NM 67192-26 (Nauen),Wind,Nauen,Nauen,9/18/2002,Hochspannung,1.5,0.3,3942.0,1567,Neukammer,2767.198978969778
SEE946219908723,NM 67215-27 (Nauen),Wind,Nauen,Nauen,8/31/2002,Hochspannung,1.5,0.3,3942.0,1567,Neukammer,2822.1741501529814
SEE922173449595,WEA 6 (100187301),Wind,Schlieben,Schlieben,9/26/2018,Hochspannung,2.0,0.3,5256.0,3247,,2047.100727687783
SEE946200797336,WEA 7 (100187264),Wind,Schlieben,Schlieben,9/26/2018,Hochspannung,2.0,0.3,5256.0,3247,,1836.8548233568595
SEE936260072245,WEA 13 (100187282),Wind,Doberlug-Kirchhain,Doberlug-Kirchhain,9/26/2018,Hochspannung,2.0,0.3,5256.0,3247,,879.4073207662584
SEE984045578161,WEA 14 (100187299),Wind,Doberlug-Kirchhain,Doberlug-Kirchhain,9/27/2018,Hochspannung,2.0,0.3,5256.0,3247,,585.6760001003291
SEE973975044730,WEA 02 - 201910,Wind,Welzow,Welzow,9/27/2013,Hochspannung,3.075,0.3,8081.099999999999,1898,Umspannstation Proschim,237.62007097346932
SEE909308158874,WEA 03 - 201911,Wind,Welzow,Welzow,9/30/2013,Hochspannung,3.075,0.3,8081.099999999999,1898,Umspannstation Proschim,262.60235450453854
SEE904166445654,WEA 04 - 201955,Wind,Welzow,Welzow,10/10/2013,Hochspannung,2.0,0.3,5256.0,1898,Umspannstation Proschim,666.5339135865877
SEE905660044558,NX 85496-04,Wind,Gumtow,Gumtow,8/24/2017,Hochspannung,2.4,0.3,6307.2,2243,,2008.1336100902067
SEE977216880767,PVA Cahnsdorf 3,Solare Strahlungsenergie,Luckau,Luckau,6/18/2018,Hochspannung,5.76,0.12,6054.911999999999,2016,,2492.894511787864
SEE934150037121,NX 85500-05,Wind,Gumtow,Gumtow,9/25/2017,Hochspannung,2.4,0.3,6307.2,2243,,2283.280293062105
SEE968294520317,NX 85498-02,Wind,Gumtow,Gumtow,9/7/2017,Hochspannung,2.4,0.3,6307.2,2243,,2382.6277267665687
SEE980784122528,NX 85499-01,Wind,Gumtow,Gumtow,9/19/2017,Hochspannung,2.4,0.3,6307.2,2243,,2815.9343934204257
SEE909943400055,NX 85497-03,Wind,Gumtow,Gumtow,9/5/2017,Hochspannung,2.4,0.3,6307.2,2243,,2069.255590787496
