substation_id,substation_name,total_capacity_mw,total_energy_mwh,n_plants,avg_distance_m
1870,Sydower Fließ West,33.5,88038.0,11,1010.3031020836078
1872,,4.5,11826.0,3,2158.534513676525
1880,,51.279999999999994,134763.84,9,3085.020996229453
1882,,63.775,167600.69999999998,21,5877.401089555652
1883,,7.5,19710.0,5,1842.756432601595
1896,,10.0,26280.0,5,2659.6092444687056
1898,Umspannstation Proschim,11.225000000000001,29499.3,4,475.22246650470254
1906,,6.0,15768.0,3,3343.8178565986295
1927,,12.0,31536.0,4,1299.1629722549058
193,TrSt WAZ,9.6,25228.8,14,1741.3248390163997
1935,TST 1115,19.0,49932.0,5,4203.016035378496
1944,Wegendorf TS WKA,18.0,47304.0,9,1760.4441523893954
1947,Baumgarten,6.9,18133.2,2,1175.3592025692637
1950,,13.5,35478.0,9,2142.7511450392662
1951,,16.5,43362.0,11,2272.101130058682
1965,,126.4,332179.19999999995,38,3138.134273078733
1969,Eckmannsdorf,22.0,57816.0,14,1680.0718610792076
1995,Transformatorenturmstation Muehlberg a. d. Elbe,14.350000000000001,15084.719999999998,11,6766.471257553272
1996,,26.475,69576.3,12,4561.635044431868
1997,,9.9,26017.2,4,1868.6441899316499
2008,,1.5,3942.0,1,2697.076236478062
2016,,48.68,115158.95999999999,19,3294.1989594314487
2017,,102.67,269816.76,50,4284.487268511887
2037,,40.5,106434.0,10,1368.8486685246942
2039,,26.5,69642.0,9,4851.413555095791
2048,,54.4,57185.28,11,3357.7393139679957
205,,2.0,5256.0,1,530.9475560047263
2070,Trafo,2.0,5256.0,1,977.3024204637782
2075,Schrepkow Nord,32.129,84435.012,9,1818.2105899759747
2076,Kränzlin Nord,12.0,31536.0,8,781.0860170776369
2092,,24.48,25733.375999999997,2,2512.473254328673
2123,,39.1,102754.79999999999,14,5142.9484682974235
2130,Umspannwerk Roggosen,36.375,38237.4,4,1543.966672804631
2134,,9.245,9718.344,1,3497.926023265098
2145,,58.05,152555.4,28,1551.80962223409
2146,,6.3,16556.4,2,1988.7131628250809
2150,,9.0,23652.0,8,5555.7759559107135
