substation_id,substation_name,substation_operator,substation_voltage,substation_type,total_capacity_mw,total_energy_mwh,n_plants,n_wind,n_solar,avg_distance_to_substation_m,max_distance_to_substation_m
1631,,,110000,transition,0.0746,78.41951999999999,1,0,1,1935.2417601288173,1935.2417601288173
1632,Umspannwerk Freienhufen,,110000,distribution,2.4,6727.68,1,1,0,2727.0541861989036,2727.0541861989036
1633,Umspannwerk Kostebrau,,110000,distribution,99.36500000000001,204316.488,23,22,1,2202.6876190966736,3004.635851896924
1642,,,,,3.2,8970.24,1,1,0,4844.372290359466,4844.372290359466
1648,Fürstenwalde Flugplatz,E.DIS Netz,110000,generation,34.72,36497.664000000004,6,0,6,1230.4282693312982,1362.572066212669
1660,UW Solarpark Mixdorf,,110000,transmission,22.79904,23966.350848000002,4,0,4,3580.566082176441,3580.566082176441
1666,Alteno,,110000,generation,2.0,5606.400000000001,1,1,0,5849.661752006436,5849.661752006436
1667,Willmersdorf,BKW Dubener Platte,110000,generation,30.903,39493.2336,8,2,6,2704.491997575934,5197.390556349342
1669,,,110000,transmission,59.7,167351.04,39,39,0,1343.3146674257544,2557.0372119183826
1670,Willmersdorf West,Energiequelle,110000,generation,14.381999999999998,15118.3584,5,0,5,2251.5868223746847,2464.407438405687
1674,,,,,1.0,2803.2000000000003,1,1,0,581.0849593803183,581.0849593803183
1676,,,,,9.711,10208.2032,5,0,5,3693.762004038592,4152.793875955214
168,Schönefeld,eon edis,,,20.8,58306.560000000005,9,9,0,1801.4789679222563,2170.003076273981
1692,Umspannwerk Senftenberg West,,110000,transmission,71.7,75371.04,6,0,6,14.703190850934286,17.61855342572919
1693,Birkholz,E.DIS Netz GmbH,110000,generation,8.0,22425.600000000002,4,4,0,1399.2787425889187,1726.7368236274133
1694,,E.DIS Netz,110000,generation,7.5,21024.0,5,5,0,1259.37796315622,1881.7174694018397
1697,Gratze,E.DIS Netz GmbH,110000,generation,25.6,71761.92000000001,11,11,0,6375.788474535436,7425.892242746217
1703,Heidekrug,E.DIS Netz,110000,distribution,16.0,44851.2,9,9,0,2383.8730869688034,2926.380431088506
1704,Zinndorf,E.DIS Netz,110000,generation,2.0,5606.400000000001,1,1,0,1425.4636097576756,1425.4636097576756
1705,,,110000,generation,5.65,15838.080000000002,3,3,0,1609.5951995809837,1944.1495493104119
1706,Häsen,E.DIS Netz GmbH,110000,transmission,18.0,50457.600000000006,9,9,0,2561.8533121539585,3009.6553361937213
1707,Umspannstation Klein Mutz,E.DIS Netz GmbH,110000,generation,24.15,67697.28,11,11,0,736.5382922838385,1140.1751850257328
1711,Bliesdorf,E.DIS Netz GmbH,110000,generation,40.58,108708.096,24,22,2,1341.5015434745892,2400.2460206508104
1712,Wriezen,,110000,distribution,2.7738,2915.81856,1,0,1,359.77434157868794,359.77434157868794
1713,Wriezen Höhe,E.DIS Netz GmbH,110000,generation,34.46393,87824.883216,17,14,3,5716.4799372858115,7449.316140544914
1716,,,,distribution,57.449999999999996,161043.84,22,22,0,1754.2917891388656,2731.9105760556945
172,Trafostation Wergzahna,Eon_edis,,,6.5,18220.800000000003,4,4,0,3957.3371941458286,5302.159276760058
1722,,,,,7.5,21024.0,3,3,0,4069.4138553808552,4355.7315315401365
